JDTDB,Calendar Date (TDB),X,Y,Z,VX,VY,VZ,
2459917.627083333, A.D. 2022-Dec-04 03:03:00.0000,  3.471373133635127E+05,  1.019242995155807E+05, -1.275524734863576E+04, -3.993901762135212E-01,  1.191878070135135E+00,  1.127642336182443E-01,
2459917.668750000, A.D. 2022-Dec-04 04:03:00.0000,  3.456808964614912E+05,  1.062176997222869E+05, -1.234835316138589E+04, -4.097226185379493E-01,  1.193344967822792E+00,  1.132859700489503E-01,
2459917.710416667, A.D. 2022-Dec-04 05:03:00.0000,  3.441873690404902E+05,  1.105163939935189E+05, -1.193960387147045E+04, -4.200062761912611E-01,  1.194820821841593E+00,  1.137947828567908E-01,
2459917.752083333, A.D. 2022-Dec-04 06:03:00.0000,  3.426569161315294E+05,  1.148204324882282E+05, -1.152904670694428E+04, -4.302358747331657E-01,  1.196315752030249E+00,  1.142902760994188E-01,
2459917.793750000, A.D. 2022-Dec-04 07:03:00.0000,  3.410897423005935E+05,  1.191299036631637E+05, -1.111673038288927E+04, -4.404058299506527E-01,  1.197840934674844E+00,  1.147720185530021E-01,
2459917.835416667, A.D. 2022-Dec-04 08:03:00.0000,  3.394860728302447E+05,  1.234449383013709E+05, -1.070270524013423E+04, -4.505102100707725E-01,  1.199408731453870E+00,  1.152395370510793E-01,
2459917.877083333, A.D. 2022-Dec-04 09:03:00.0000,  3.378461550503284E+05,  1.277657140405106E+05, -1.028702341052057E+04, -4.605426901070982E-01,  1.201032837810304E+00,  1.156923082555066E-01,
2459917.918750000, A.D. 2022-Dec-04 10:03:00.0000,  3.361702598182303E+05,  1.320924605865639E+05, -9.869739322595866E+03, -4.705048746800998E-01,  1.202757994770888E+00,  1.160442858396783E-01,
2459917.960416667, A.D. 2022-Dec-04 11:03:00.0000,  3.344574279797189E+05,  1.364299019987204E+05, -9.463736082207208E+03, -4.803743386671523E-01,  1.204552120989482E+00,  1.164416373445034E-01,
2459918.002083333, A.D. 2022-Dec-04 12:03:00.0000,  3.327104584048447E+05,  1.407696602231266E+05, -9.043809162822567E+03, -4.901479769981544E-01,  1.206444253900160E+00,  1.168482648228200E-01,
2459918.043750000, A.D. 2022-Dec-04 13:03:00.0000,  3.309284854491418E+05,  1.451164547223917E+05, -8.622449479147064E+03, -4.998191685480725E-01,  1.208464885964250E+00,  1.172374683957806E-01,
2459918.085416667, A.D. 2022-Dec-04 14:03:00.0000,  3.291118945527233E+05,  1.494707899233886E+05, -8.199721448201512E+03, -5.093785268917701E-01,  1.210637718535919E+00,  1.176082852737003E-01,
2459918.127083333, A.D. 2022-Dec-04 15:03:00.0000,  3.272611066266798E+05,  1.538332608282748E+05, -7.775693224215014E+03, -5.188157047499912E-01,  1.212989444724168E+00,  1.179595966521556E-01,
2459918.168750000, A.D. 2022-Dec-04 16:03:00.0000,  3.253765818311884E+05,  1.582045646549641E+05, -7.350437322461847E+03, -5.281192097262386E-01,  1.215550248638378E+00,  1.182900917149575E-01,
2459918.210416667, A.D. 2022-Dec-04 17:03:00.0000,  3.234587501564125E+05,  1.625851101063726E+05, -6.923628960801929E+03, -5.373432293716359E-01,  1.217987724733821E+00,  1.189631448536882E-01,
2459918.252083333, A.D. 2022-Dec-04 18:03:00.0000,  3.215080711607260E+05,  1.669753302236145E+05, -6.494843325173380E+03, -5.463391787868810E-01,  1.221073999330931E+00,  1.192468419346349E-01,
2459918.293750000, A.D. 2022-Dec-04 19:03:00.0000,  3.195253799620468E+05,  1.713773510730690E+05, -6.056607156344529E+03, -5.551522307968730E-01,  1.224484050362165E+00,  1.195610004219854E-01,
2459918.335416667, A.D. 2022-Dec-04 20:03:00.0000,  3.175112507192412E+05,  1.757921967091632E+05, -5.625772342681848E+03, -5.637739327694415E-01,  1.228275785486894E+00,  1.197864696363453E-01,
2459918.377083333, A.D. 2022-Dec-04 21:03:00.0000,  3.154664702157272E+05,  1.802214626669271E+05, -5.194184193456182E+03, -5.721766940073291E-01,  1.232506139523664E+00,  1.199788969169185E-01,
2459918.418750000, A.D. 2022-Dec-04 22:03:00.0000,  3.133918725588784E+05,  1.846668511192971E+05, -4.761968904842601E+03, -5.803342554389840E-01,  1.237245414829807E+00,  1.201341063817061E-01,
2459918.460416667, A.D. 2022-Dec-04 23:03:00.0000,  3.112883951974123E+05,  1.891303392623595E+05, -4.329269495085238E+03, -5.882152487959711E-01,  1.242576555560209E+00,  1.202468810863755E-01,
2459918.502083333, A.D. 2022-Dec-05 00:03:00.0000,  3.091570998924744E+05,  1.936142302683598E+05, -3.896250120003577E+03, -5.957816854129279E-01,  1.248598317375654E+00,  1.203106295515758E-01,
2459918.543750000, A.D. 2022-Dec-05 01:03:00.0000,  3.070003600740538E+05,  1.981192427359716E+05, -3.469372959587476E+03, -6.007667132900156E-01,  1.251661309821368E+00,  1.084024478576814E-01,
